Region,Country,ItemType,SalesChannel,OrderPriority,OrderID,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
North America,Greenland,Fruits,Offline,M,469839179,4709,9.33,6.92,43934.97,32586.28,11348.69
Sub-Saharan Africa,Chad,Meat,Offline,H,357222878,9043,421.89,364.69,3815151.27,3297891.67,517259.6
Sub-Saharan Africa,Mauritius ,Personal Care,Online,C,118002879,8529,81.73,56.67,697075.17,483338.43,213736.74
Middle East and North Africa,Morocco,Beverages,Offline,C,944415509,2391,47.45,31.79,113452.95,76009.89,37443.06
Central America and the Caribbean,Honduras,Office Supplies,Online,H,499009597,6884,651.21,524.96,4482929.64,3613824.64,869105
Sub-Saharan Africa,Benin,Fruits,Online,L,564646470,293,9.33,6.92,2733.69,2027.56,706.13
Europe,Greece,Baby Food,Offline,M,294499957,7937,255.28,159.42,2026157.36,1265316.54,760840.82
Central America and the Caribbean,Jamaica,Beverages,Offline,L,262056386,7163,47.45,31.79,339884.35,227711.77,112172.58
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Online,M,211114585,2352,651.21,524.96,1531645.92,1234705.92,296940
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,H,405785882,9915,651.21,524.96,6456747.15,5204978.4,1251768.75
Central America and the Caribbean,Trinidad and Tobago,Vegetables,Offline,M,280494105,3294,154.06,90.93,507473.64,299523.42,207950.22
Europe,Sweden,Baby Food,Online,L,689975583,7963,255.28,159.42,2032794.64,1269461.46,763333.18
Europe,Belarus,Office Supplies,Online,L,759279143,6426,651.21,524.96,4184675.46,3373392.96,811282.5
Sub-Saharan Africa,Guinea-Bissau,Office Supplies,Offline,C,133766114,3221,651.21,524.96,2097547.41,1690896.16,406651.25
Asia,Mongolia,Beverages,Online,M,329110324,9913,47.45,31.79,470371.85,315134.27,155237.58
Middle East and North Africa,Turkey,Meat,Online,L,681298100,103,421.89,364.69,43454.67,37563.07,5891.6
Sub-Saharan Africa,Central African Republic,Snacks,Offline,L,596628272,4419,152.58,97.44,674251.02,430587.36,243663.66
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Offline,L,901712167,5523,651.21,524.96,3596632.83,2899354.08,697278.75
Asia,Laos,Beverages,Online,M,693473613,3107,47.45,31.79,147427.15,98771.53,48655.62
Europe,Armenia,Meat,Online,C,489148938,8896,421.89,364.69,3753133.44,3244282.24,508851.2
Europe,Greece,Household,Online,L,876286971,1643,668.27,502.54,1097967.61,825673.22,272294.39
Middle East and North Africa,Israel,Personal Care,Offline,H,262749040,2135,81.73,56.67,174493.55,120990.45,53503.1
Asia,Bhutan,Meat,Online,H,726708972,8189,421.89,364.69,3454857.21,2986446.41,468410.8
Australia and Oceania,Vanuatu,Vegetables,Online,L,366653096,9654,154.06,90.93,1487295.24,877838.22,609457.02
Sub-Saharan Africa,Burundi,Vegetables,Online,M,951380240,3410,154.06,90.93,525344.6,310071.3,215273.3
Europe,Ukraine,Cosmetics,Online,M,270001733,8368,437.2,263.33,3658489.6,2203545.44,1454944.16
Europe,Croatia,Beverages,Online,C,681941401,470,47.45,31.79,22301.5,14941.3,7360.2
Sub-Saharan Africa,Madagascar,Fruits,Online,L,566935575,7690,9.33,6.92,71747.7,53214.8,18532.9
Asia,Malaysia,Snacks,Offline,M,175033080,5033,152.58,97.44,767935.14,490415.52,277519.62
Asia,Uzbekistan,Office Supplies,Offline,L,276595246,9535,651.21,524.96,6209287.35,5005493.6,1203793.75
Europe,Italy,Office Supplies,Online,M,812295901,5263,651.21,524.96,3427318.23,2762864.48,664453.75
Asia,Nepal,Vegetables,Offline,C,443121373,8316,154.06,90.93,1281162.96,756173.88,524989.08
Australia and Oceania,Fiji,Personal Care,Offline,H,600370490,1824,81.73,56.67,149075.52,103366.08,45709.44
Europe,Portugal,Office Supplies,Online,L,535654580,949,651.21,524.96,617998.29,498187.04,119811.25
Central America and the Caribbean,Panama,Cosmetics,Offline,H,470897471,7881,437.2,263.33,3445573.2,2075303.73,1370269.47
Europe,Belarus,Beverages,Offline,L,248335492,6846,47.45,31.79,324842.7,217634.34,107208.36
Sub-Saharan Africa,Botswana,Clothes,Offline,C,680517470,9097,109.28,35.84,994120.16,326036.48,668083.68
Sub-Saharan Africa,Tanzania,Personal Care,Online,M,400304734,7921,81.73,56.67,647383.33,448883.07,198500.26
Europe,Romania,Office Supplies,Offline,C,810871112,3636,651.21,524.96,2367799.56,1908754.56,459045
Sub-Saharan Africa,Mali,Cereal,Online,L,235702931,8590,205.7,117.11,1766963,1005974.9,760988.1
Sub-Saharan Africa,Central African Republic,Office Supplies,Offline,C,668599021,2163,651.21,524.96,1408567.23,1135488.48,273078.75
Sub-Saharan Africa,Niger,Baby Food,Online,M,123670709,5766,255.28,159.42,1471944.48,919215.72,552728.76
Europe,Austria,Office Supplies,Online,L,285341823,7841,651.21,524.96,5106137.61,4116211.36,989926.25
Asia,India,Fruits,Online,H,658348691,8862,9.33,6.92,82682.46,61325.04,21357.42
Europe,Luxembourg,Baby Food,Offline,L,817740142,6335,255.28,159.42,1617198.8,1009925.7,607273.1
Sub-Saharan Africa,Cape Verde,Beverages,Offline,H,858877503,9794,47.45,31.79,464725.3,311351.26,153374.04
Europe,Sweden,Vegetables,Offline,M,947434604,5808,154.06,90.93,894780.48,528121.44,366659.04
Europe,Iceland,Meat,Offline,H,869397771,2975,421.89,364.69,1255122.75,1084952.75,170170
Middle East and North Africa,Qatar,Personal Care,Offline,L,481065833,6925,81.73,56.67,565980.25,392439.75,173540.5
Sub-Saharan Africa,South Sudan,Meat,Online,C,159050118,5319,421.89,364.69,2244032.91,1939786.11,304246.8
Europe,United Kingdom,Office Supplies,Online,M,350274455,2850,651.21,524.96,1855948.5,1496136,359812.5
Middle East and North Africa,Tunisia ,Cereal,Online,L,221975171,6241,205.7,117.11,1283773.7,730883.51,552890.19
North America,United States of America,Office Supplies,Online,C,811701095,9247,651.21,524.96,6021738.87,4854305.12,1167433.75
Sub-Saharan Africa,Liberia,Cereal,Online,L,977313554,7653,205.7,117.11,1574222.1,896242.83,677979.27
Sub-Saharan Africa,Eritrea,Snacks,Offline,L,546986377,4279,152.58,97.44,652889.82,416945.76,235944.06
Asia,South Korea,Fruits,Offline,L,769205892,3972,9.33,6.92,37058.76,27486.24,9572.52
Sub-Saharan Africa,Kenya,Clothes,Offline,M,262770926,8611,109.28,35.84,941010.08,308618.24,632391.84
Sub-Saharan Africa,Rwanda,Snacks,Online,M,866792809,2109,152.58,97.44,321791.22,205500.96,116290.26
Central America and the Caribbean,Cuba,Beverages,Offline,C,890695369,5408,47.45,31.79,256609.6,171920.32,84689.28
Middle East and North Africa,Libya,Cereal,Offline,M,964214932,1480,205.7,117.11,304436,173322.8,131113.2
Europe,Czech Republic,Snacks,Online,C,887400329,332,152.58,97.44,50656.56,32350.08,18306.48
Europe,Montenegro,Beverages,Offline,M,980612885,3999,47.45,31.79,189752.55,127128.21,62624.34
Europe,Montenegro,Clothes,Offline,M,734526431,1549,109.28,35.84,169274.72,55516.16,113758.56
Asia,Philippines,Baby Food,Online,L,160127294,4079,255.28,159.42,1041287.12,650274.18,391012.94
Central America and the Caribbean,El Salvador,Clothes,Offline,L,238714301,9721,109.28,35.84,1062310.88,348400.64,713910.24
Australia and Oceania,Tonga,Household,Online,M,671898782,8635,668.27,502.54,5770511.45,4339432.9,1431078.55
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,H,331604564,8014,81.73,56.67,654984.22,454153.38,200830.84
Middle East and North Africa,Afghanistan,Cereal,Online,M,410067975,7081,205.7,117.11,1456561.7,829255.91,627305.79
Australia and Oceania,Tuvalu,Snacks,Offline,L,369837844,2091,152.58,97.44,319044.78,203747.04,115297.74
Sub-Saharan Africa,Sudan,Fruits,Online,L,193775498,1331,9.33,6.92,12418.23,9210.52,3207.71
Sub-Saharan Africa,Niger,Clothes,Online,M,835054767,117,109.28,35.84,12785.76,4193.28,8592.48
Sub-Saharan Africa,Gabon,Household,Offline,C,167161977,5798,668.27,502.54,3874629.46,2913726.92,960902.54
Australia and Oceania,East Timor,Vegetables,Offline,C,633895957,2755,154.06,90.93,424435.3,250512.15,173923.15
North America,United States of America,Clothes,Offline,C,699368035,7398,109.28,35.84,808453.44,265144.32,543309.12
Middle East and North Africa,Jordan,Vegetables,Offline,L,698002040,3170,154.06,90.93,488370.2,288248.1,200122.1
Europe,Cyprus,Snacks,Offline,H,584534299,5544,152.58,97.44,845903.52,540207.36,305696.16
Sub-Saharan Africa,Malawi,Vegetables,Online,L,384013640,7025,154.06,90.93,1082271.5,638783.25,443488.25
Europe,Iceland,Personal Care,Online,M,641801393,2149,81.73,56.67,175637.77,121783.83,53853.94
Middle East and North Africa,Israel,Personal Care,Online,M,173571383,2484,81.73,56.67,203017.32,140768.28,62249.04
Middle East and North Africa,United Arab Emirates,Snacks,Offline,H,115309941,1629,152.58,97.44,248552.82,158729.76,89823.06
Asia,China,Cosmetics,Offline,L,773315894,213,437.2,263.33,93123.6,56089.29,37034.31
Sub-Saharan Africa,Kenya,Beverages,Online,M,274200570,897,47.45,31.79,42562.65,28515.63,14047.02
Middle East and North Africa,Somalia,Clothes,Offline,M,414887797,3374,109.28,35.84,368710.72,120924.16,247786.56
Australia and Oceania,Tonga,Beverages,Offline,L,812613904,9367,47.45,31.79,444464.15,297776.93,146687.22
Asia,Bangladesh,Baby Food,Online,H,254927718,7632,255.28,159.42,1948296.96,1216693.44,731603.52
Middle East and North Africa,Egypt,Beverages,Offline,M,749690568,8954,47.45,31.79,424867.3,284647.66,140219.64
Sub-Saharan Africa,Eritrea,Cereal,Offline,C,775076282,1150,205.7,117.11,236555,134676.5,101878.5
Sub-Saharan Africa,Swaziland,Office Supplies,Online,H,229571187,4071,651.21,524.96,2651075.91,2137112.16,513963.75
Asia,Vietnam,Baby Food,Online,C,881974112,4594,255.28,159.42,1172756.32,732375.48,440380.84
Australia and Oceania,Marshall Islands,Snacks,Online,L,521396386,1632,152.58,97.44,249010.56,159022.08,89988.48
Asia,Taiwan,Household,Online,C,607261836,1127,668.27,502.54,753140.29,566362.58,186777.71
Europe,Ireland,Vegetables,Online,M,419306790,1052,154.06,90.93,162071.12,95658.36,66412.76
Sub-Saharan Africa,Rwanda,Meat,Offline,H,207580077,6413,421.89,364.69,2705580.57,2338756.97,366823.6
Europe,Sweden,Snacks,Online,M,742443025,4245,152.58,97.44,647702.1,413632.8,234069.3
Sub-Saharan Africa,Gabon,Snacks,Offline,M,164569461,8615,152.58,97.44,1314476.7,839445.6,475031.1
Sub-Saharan Africa,South Africa,Baby Food,Online,L,734945714,5624,255.28,159.42,1435694.72,896578.08,539116.64
Europe,United Kingdom,Clothes,Offline,C,284870612,8399,109.28,35.84,917842.72,301020.16,616822.56
Europe,Albania,Fruits,Offline,M,765955483,2104,9.33,6.92,19630.32,14559.68,5070.64
Asia,Malaysia,Snacks,Offline,H,600124156,8929,152.58,97.44,1362386.82,870041.76,492345.06
Sub-Saharan Africa,Ghana,Household,Offline,L,529612958,3098,668.27,502.54,2070300.46,1556868.92,513431.54
Central America and the Caribbean,Cuba,Clothes,Offline,H,466970717,5867,109.28,35.84,641145.76,210273.28,430872.48
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,C,845058763,522,437.2,263.33,228218.4,137458.26,90760.14
Europe,Romania,Snacks,Offline,L,367050921,7379,152.58,97.44,1125887.82,719009.76,406878.06
Europe,Portugal,Office Supplies,Online,L,956433522,8788,651.21,524.96,5722833.48,4613348.48,1109485
Europe,Macedonia,Beverages,Online,C,107005393,4129,47.45,31.79,195921.05,131260.91,64660.14
Asia,China,Beverages,Offline,C,332877862,4811,47.45,31.79,228281.95,152941.69,75340.26
Europe,Germany,Baby Food,Online,L,618474757,9279,255.28,159.42,2368743.12,1479258.18,889484.94
Europe,Ireland,Household,Online,M,468532407,8006,668.27,502.54,5350169.62,4023335.24,1326834.38
Europe,Poland,Office Supplies,Offline,M,358099639,8496,651.21,524.96,5532680.16,4460060.16,1072620
Sub-Saharan Africa,Namibia,Household,Online,H,382537782,285,668.27,502.54,190456.95,143223.9,47233.05
Asia,Uzbekistan,Personal Care,Offline,H,707520663,9942,81.73,56.67,812559.66,563413.14,249146.52
Sub-Saharan Africa,Zimbabwe,Meat,Online,M,219034612,6064,421.89,364.69,2558340.96,2211480.16,346860.8
Asia,Mongolia,Meat,Offline,M,573378455,4281,421.89,364.69,1806111.09,1561237.89,244873.2
Europe,Norway,Personal Care,Online,H,347163522,2256,81.73,56.67,184382.88,127847.52,56535.36
Middle East and North Africa,Oman,Snacks,Offline,M,887313640,4679,152.58,97.44,713921.82,455921.76,258000.06
Europe,Serbia,Cosmetics,Online,H,461065137,8275,437.2,263.33,3617830,2179055.75,1438774.25
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,H,105966842,6798,9.33,6.92,63425.34,47042.16,16383.18
Europe,Bulgaria,Baby Food,Online,M,479880082,6035,255.28,159.42,1540614.8,962099.7,578515.1
Asia,Brunei,Baby Food,Online,H,510978686,8803,255.28,159.42,2247229.84,1403374.26,843855.58
Europe,Serbia,Snacks,Offline,C,547748982,9951,152.58,97.44,1518323.58,969625.44,548698.14
Sub-Saharan Africa,Ghana,Cereal,Offline,M,108989799,1358,205.7,117.11,279340.6,159035.38,120305.22
Sub-Saharan Africa,Malawi,Cereal,Offline,M,133812463,6936,205.7,117.11,1426735.2,812274.96,614460.24
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,L,731640803,7627,9.33,6.92,71159.91,52778.84,18381.07
Europe,Cyprus,Snacks,Offline,C,732211148,6405,152.58,97.44,977274.9,624103.2,353171.7
Central America and the Caribbean,Nicaragua,Cereal,Online,M,835572326,3274,205.7,117.11,673461.8,383418.14,290043.66
Europe,Estonia,Baby Food,Offline,C,462085664,271,255.28,159.42,69180.88,43202.82,25978.06
Europe,Estonia,Clothes,Online,C,902424991,6463,109.28,35.84,706276.64,231633.92,474642.72
Europe,Lithuania,Fruits,Offline,H,367576634,2949,9.33,6.92,27514.17,20407.08,7107.09
Sub-Saharan Africa,Republic of the Congo,Meat,Offline,H,738839423,7859,421.89,364.69,3315633.51,2866098.71,449534.8
Europe,Czech Republic,Baby Food,Online,C,817824685,1353,255.28,159.42,345393.84,215695.26,129698.58
Sub-Saharan Africa,Cameroon,Snacks,Online,C,376456248,624,152.58,97.44,95209.92,60802.56,34407.36
Asia,Vietnam,Office Supplies,Online,H,606970441,4897,651.21,524.96,3188975.37,2570729.12,618246.25
Europe,Moldova ,Meat,Offline,L,971916091,424,421.89,364.69,178881.36,154628.56,24252.8
Middle East and North Africa,Bahrain,Office Supplies,Offline,L,554154527,5494,651.21,524.96,3577747.74,2884130.24,693617.5
Europe,Hungary,Household,Online,L,306859576,5423,668.27,502.54,3624028.21,2725274.42,898753.79
Australia and Oceania,Marshall Islands,Personal Care,Offline,L,803517568,7559,81.73,56.67,617797.07,428368.53,189428.54
Middle East and North Africa,Iraq,Office Supplies,Online,C,887927329,6283,651.21,524.96,4091552.43,3298323.68,793228.75
Europe,Albania,Vegetables,Online,H,824200189,8006,154.06,90.93,1233404.36,727985.58,505418.78
Sub-Saharan Africa,Lesotho,Office Supplies,Online,H,946759974,6170,651.21,524.96,4017965.7,3239003.2,778962.5
Middle East and North Africa,Lebanon,Clothes,Offline,H,310343015,6249,109.28,35.84,682890.72,223964.16,458926.56
Europe,Hungary,Vegetables,Online,C,739998137,748,154.06,90.93,115236.88,68015.64,47221.24
Asia,Japan,Beverages,Online,H,981086671,4203,47.45,31.79,199432.35,133613.37,65818.98
Europe,Georgia,Office Supplies,Offline,L,749282443,8180,651.21,524.96,5326897.8,4294172.8,1032725
Europe,Estonia,Office Supplies,Online,C,280571782,6280,651.21,524.96,4089598.8,3296748.8,792850
Europe,Luxembourg,Household,Online,C,781253516,9131,668.27,502.54,6101973.37,4588692.74,1513280.63
Sub-Saharan Africa,Swaziland,Personal Care,Online,H,377938973,9396,81.73,56.67,767935.08,532471.32,235463.76
Europe,Romania,Clothes,Offline,C,867551982,6765,109.28,35.84,739279.2,242457.6,496821.6
Sub-Saharan Africa,Ethiopia,Personal Care,Offline,C,967328870,2964,81.73,56.67,242247.72,167969.88,74277.84
Sub-Saharan Africa,Chad,Office Supplies,Offline,C,364818465,6746,651.21,524.96,4393062.66,3541380.16,851682.5
Middle East and North Africa,Morocco,Office Supplies,Online,C,167882096,8898,651.21,524.96,5794466.58,4671094.08,1123372.5
North America,Mexico,Clothes,Online,H,654693591,7237,109.28,35.84,790859.36,259374.08,531485.28
Sub-Saharan Africa,Nigeria,Personal Care,Offline,H,823739278,1612,81.73,56.67,131748.76,91352.04,40396.72
Central America and the Caribbean,Trinidad and Tobago,Beverages,Offline,L,643817985,8904,47.45,31.79,422494.8,283058.16,139436.64
Europe,Moldova ,Personal Care,Offline,H,604041039,8022,81.73,56.67,655638.06,454606.74,201031.32
Australia and Oceania,Solomon Islands,Personal Care,Online,H,363832271,4909,81.73,56.67,401212.57,278193.03,123019.54
Asia,India,Personal Care,Online,L,102928006,7539,81.73,56.67,616162.47,427235.13,188927.34
Sub-Saharan Africa,Burkina Faso,Office Supplies,Offline,M,971377074,917,651.21,524.96,597159.57,481388.32,115771.25
Australia and Oceania,Kiribati,Meat,Online,L,139540803,2079,421.89,364.69,877109.31,758190.51,118918.8
Middle East and North Africa,Israel,Meat,Offline,M,248093020,5093,421.89,364.69,2148685.77,1857366.17,291319.6
Sub-Saharan Africa,Comoros,Snacks,Offline,L,858020055,6056,152.58,97.44,924024.48,590096.64,333927.84
Middle East and North Africa,Iran,Baby Food,Offline,H,700620734,8099,255.28,159.42,2067512.72,1291142.58,776370.14
Asia,Vietnam,Cosmetics,Offline,L,827506387,6384,437.2,263.33,2791084.8,1681098.72,1109986.08
Central America and the Caribbean,Belize,Household,Online,M,560600841,3101,668.27,502.54,2072305.27,1558376.54,513928.73
Europe,Belarus,Personal Care,Offline,H,642140424,2476,81.73,56.67,202363.48,140314.92,62048.56
North America,United States of America,Baby Food,Offline,C,984673964,5763,255.28,159.42,1471178.64,918737.46,552441.18
Europe,Poland,Beverages,Online,L,221062791,6247,47.45,31.79,296420.15,198592.13,97828.02
North America,Canada,Vegetables,Offline,L,654480731,4247,154.06,90.93,654292.82,386179.71,268113.11
Middle East and North Africa,Israel,Beverages,Offline,C,608414113,2111,47.45,31.79,100166.95,67108.69,33058.26
Middle East and North Africa,Lebanon,Household,Online,L,276661765,9219,668.27,502.54,6160781.13,4632916.26,1527864.87
Europe,Andorra,Baby Food,Online,L,373335015,6982,255.28,159.42,1782364.96,1113070.44,669294.52
Europe,Slovakia,Clothes,Online,L,782857692,3843,109.28,35.84,419963.04,137733.12,282229.92
Sub-Saharan Africa,Liberia,Fruits,Online,H,109966123,274,9.33,6.92,2556.42,1896.08,660.34
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Offline,M,629709136,3782,205.7,117.11,777957.4,442910.02,335047.38
Asia,China,Personal Care,Online,L,637448060,3901,81.73,56.67,318828.73,221069.67,97759.06
Sub-Saharan Africa,Niger,Baby Food,Online,H,298856723,7200,255.28,159.42,1838016,1147824,690192
Europe,United Kingdom,Household,Offline,L,299921452,2278,668.27,502.54,1522319.06,1144786.12,377532.94
Asia,Bangladesh,Personal Care,Offline,M,496941077,4763,81.73,56.67,389279.99,269919.21,119360.78
Asia,Myanmar,Snacks,Online,L,366526925,2317,152.58,97.44,353527.86,225768.48,127759.38
Australia and Oceania,Tonga,Meat,Offline,M,355602824,9633,421.89,364.69,4064066.37,3513058.77,551007.6
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,C,531405103,3434,154.06,90.93,529042.04,312253.62,216788.42
Australia and Oceania,Nauru,Vegetables,Offline,M,131482589,7475,154.06,90.93,1151598.5,679701.75,471896.75
Sub-Saharan Africa,Swaziland,Cereal,Online,L,713696610,7542,205.7,117.11,1551389.4,883243.62,668145.78
Europe,Finland,Vegetables,Online,C,306220996,6452,154.06,90.93,993995.12,586680.36,407314.76
Australia and Oceania,Papua New Guinea,Household,Offline,L,157542073,9055,668.27,502.54,6051184.85,4550499.7,1500685.15
Sub-Saharan Africa,Mauritius ,Personal Care,Online,L,686458671,7230,81.73,56.67,590907.9,409724.1,181183.8
Sub-Saharan Africa,Mozambique,Office Supplies,Online,M,132082116,4888,651.21,524.96,3183114.48,2566004.48,617110
Europe,Bulgaria,Clothes,Online,L,403836238,2972,109.28,35.84,324780.16,106516.48,218263.68
Europe,Spain,Household,Online,C,331457364,4455,668.27,502.54,2977142.85,2238815.7,738327.15
Australia and Oceania,Vanuatu,Meat,Online,H,614994323,9341,421.89,364.69,3940874.49,3406569.29,534305.2
Europe,Belgium,Fruits,Offline,L,674808442,9669,9.33,6.92,90211.77,66909.48,23302.29
Europe,Belgium,Baby Food,Offline,L,901573550,4503,255.28,159.42,1149525.84,717868.26,431657.58
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,L,406275975,4944,109.28,35.84,540280.32,177192.96,363087.36
Sub-Saharan Africa,Togo,Vegetables,Online,C,170214545,9121,154.06,90.93,1405181.26,829372.53,575808.73
Sub-Saharan Africa,Cote d'Ivoire,Personal Care,Offline,C,795000588,7196,81.73,56.67,588129.08,407797.32,180331.76
Sub-Saharan Africa,Republic of the Congo,Fruits,Offline,C,252557933,6360,9.33,6.92,59338.8,44011.2,15327.6
Middle East and North Africa,Libya,Baby Food,Offline,M,635122907,5837,255.28,159.42,1490069.36,930534.54,559534.82
Australia and Oceania,East Timor,Vegetables,Online,C,505244338,1882,154.06,90.93,289940.92,171130.26,118810.66
Europe,Switzerland,Clothes,Offline,H,745783555,2782,109.28,35.84,304016.96,99706.88,204310.08
Australia and Oceania,Palau,Snacks,Offline,M,509914386,3853,152.58,97.44,587890.74,375436.32,212454.42
Middle East and North Africa,Jordan,Household,Online,M,371123158,2445,668.27,502.54,1633920.15,1228710.3,405209.85
Europe,Slovenia,Household,Online,H,973208701,2936,668.27,502.54,1962040.72,1475457.44,486583.28
Asia,South Korea,Baby Food,Online,L,780282342,1739,255.28,159.42,443931.92,277231.38,166700.54
Europe,Norway,Clothes,Online,H,126767909,2296,109.28,35.84,250906.88,82288.64,168618.24
Middle East and North Africa,Afghanistan,Baby Food,Online,M,767401731,80,255.28,159.42,20422.4,12753.6,7668.8
Asia,Bangladesh,Personal Care,Online,L,927232635,7597,81.73,56.67,620902.81,430521.99,190380.82
Sub-Saharan Africa,Guinea,Meat,Offline,M,251621949,9381,421.89,364.69,3957750.09,3421156.89,536593.2
Central America and the Caribbean,Cuba,Office Supplies,Offline,H,256243503,7002,651.21,524.96,4559772.42,3675769.92,884002.5
Europe,Russia,Cosmetics,Offline,C,277083623,4056,437.2,263.33,1773283.2,1068066.48,705216.72
Sub-Saharan Africa,Seychelles ,Vegetables,Offline,L,620441138,1175,154.06,90.93,181020.5,106842.75,74177.75
Asia,South Korea,Office Supplies,Offline,M,312927377,1020,651.21,524.96,664234.2,535459.2,128775
Sub-Saharan Africa,Ghana,Baby Food,Offline,L,251466166,3282,255.28,159.42,837828.96,523216.44,314612.52
Central America and the Caribbean,Costa Rica,Office Supplies,Online,H,953293836,9685,651.21,524.96,6306968.85,5084237.6,1222731.25
Europe,Romania,Cereal,Online,C,305959212,8985,205.7,117.11,1848214.5,1052233.35,795981.15
Europe,Czech Republic,Cereal,Online,L,317323625,1967,205.7,117.11,404611.9,230355.37,174256.53
Europe,Liechtenstein,Household,Offline,L,365560901,6449,668.27,502.54,4309673.23,3240880.46,1068792.77
Sub-Saharan Africa,Seychelles ,Baby Food,Online,M,349157369,2279,255.28,159.42,581783.12,363318.18,218464.94
Middle East and North Africa,Somalia,Baby Food,Online,L,236911857,6338,255.28,159.42,1617964.64,1010403.96,607560.68
Australia and Oceania,Solomon Islands,Personal Care,Offline,H,517935693,7536,81.73,56.67,615917.28,427065.12,188852.16
Sub-Saharan Africa,Uganda,Clothes,Offline,C,851652705,1816,109.28,35.84,198452.48,65085.44,133367.04
Sub-Saharan Africa,Equatorial Guinea,Cereal,Offline,M,517799222,7151,205.7,117.11,1470960.7,837453.61,633507.09
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,C,666424071,8547,651.21,524.96,5565891.87,4486833.12,1079058.75
Europe,Moldova ,Fruits,Offline,C,267888581,3039,9.33,6.92,28353.87,21029.88,7323.99
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,L,162866580,4695,154.06,90.93,723311.7,426916.35,296395.35
Central America and the Caribbean,Guatemala,Beverages,Offline,H,812344396,9614,47.45,31.79,456184.3,305629.06,150555.24
